city,checks
NewYork,TRUE
Chicago,FALSE
LosAngeles,TRUE
Houston,FALSE
Philadelphia,TRUE
Phoenix,FALSE
SanDiego,TRUE
Dallas,FALSE
Detroit,FALSE
SanFrancisco,TRUE
SanAntonio,FALSE
Atlanta,FALSE
LasVegas,FALSE
Boston,FALSE
Jacksonville,FALSE
ElPaso,FALSE
Columbus,FALSE
Cleveland,FALSE
Tucson,FALSE
Newark,TRUE
Austin,FALSE
Memphis,FALSE
Millwaukee,FALSE
SanJose,TRUE
Denver,TRUE
Tampa,FALSE
Indianapolis,FALSE
NewOrleans,FALSE
Seattle,TRUE
KansasCity,FALSE
Nashville,FALSE
FortWorth,FALSE
Albuquerque,FALSE
Cincinnati,FALSE
Portland,TRUE
St. Louis,FALSE
